State,Avg,Standard deviation,Skewness,Kurtosis,delta_power,theta_power,alpha_power,beta_power,gamma_power
NREM,0.46830069749418746,0.18035914028216854,0.21606066352768152,-0.48215938742358544,0.0023758481526762933,0.0011662835464782428,0.0007221895920766979,0.0018605248671902236,0.0006253864179719797
NREM,0.4414520823798627,0.1389796816234406,0.40939870321546756,0.6391946557331778,0.003046556053754357,0.0020325771404056834,0.0015426316316813423,0.003855573775226746,0.0012987699763380629
NREM,0.5280490084985836,0.1389990327064903,0.2004519866932059,0.03075916280942126,0.0024800263841317136,0.0013566779314600195,0.0012665446719999618,0.003171293712688747,0.0009636382868226484
NREM,0.5203173702422146,0.14650675427121154,-0.043639134908290196,-0.03387453109830618,0.0036372468221965576,0.002890138734419973,0.0010614758782732515,0.0017869944655840217,0.001314608426765089
NREM,0.4417639445983379,0.1516701557787092,-0.09868717610616175,-0.43676646604712754,0.004470335747597691,0.0009631550250110454,0.0015599967903393202,0.0022525617762538144,0.000571690108083156
NREM,0.4265501265822785,0.17148942735884928,0.3273405662290593,-0.04377420372908958,0.005522798755306472,0.0036201545354613038,0.0014157699235842667,0.0030712943189434706,0.001472737011571647
NREM,0.6037495025234318,0.14512056147570382,-0.22207233396153417,-0.26385949198018954,0.0033100084086278812,0.00227133658812093,0.002459877474201186,0.0029247761361986158,0.0011389815010114514
NREM,0.37516628839898813,0.15536912185398,0.3675784585741564,-0.03278769084531019,0.0033950315212328934,0.0028026230915261193,0.002008110585667898,0.0048207323322682115,0.0011931610245576488
NREM,0.402282,0.16201272466831557,0.2672235640317838,-0.30699318868581926,0.005468732960944857,0.0023599765673065626,0.0015940235462855946,0.00328566662394806,0.001115630443947368
NREM,0.49709502564102565,0.1672940033589702,-0.037354681854986214,-0.11682675987316982,0.003145930295301815,0.0025949254802763297,0.0007127051935710029,0.002401556777413802,0.0007320972773753771
NREM,0.4364222153846154,0.16715286304136817,0.3014279260181528,-0.08834973678116942,0.004240468421084475,0.0021810969352256495,0.0011468994843328753,0.0033512478888070556,0.0014915175197510147
NREM,0.3948231300813008,0.1329589582205859,0.2609108484300664,0.11216218020423208,0.003881465476936733,0.0012906737527202112,0.0012379952323039907,0.0021520805137778894,0.0006665739590197627
NREM,0.43403026671056966,0.16032845403615612,0.23912649052353152,-0.11545368726194871,0.006689151023488745,0.003196396770695247,0.0014426594166009798,0.0034460737567694457,0.0008802789477407128
NREM,0.656149083265966,0.2009080643152095,-1.4771133927188222,1.5740887513484454,0.0031897012001211975,0.000554637653353856,0.00039154048431333467,0.0005865156653921785,0.00023238070208667335
NREM,0.35600268505747124,0.1774438479102273,0.6827615895388773,0.2948556173953718,0.0030586926461628316,0.000953451092607145,0.0005031204853672582,0.0014862618023729847,0.00047603256503271803
NREM,0.6450617351598171,0.2339614098775499,-1.5437742367724596,1.033813621314379,0.0013491572366095934,0.000196410501243191,0.0001361035349570467,0.000215043194086041,0.00015296360902247063
NREM,0.6526687668393782,0.15083354577898084,-1.021840760551323,2.394253431008347,0.0017868971960795363,0.0007166364723733072,0.0004810800226697846,0.00065940220937172,0.0003606942811187733
NREM,0.39538461046743906,0.17135033450107015,0.3865664599718862,-0.18597813261880658,0.0048016850023358485,0.0024681607761164216,0.0022439719969502025,0.002454870911992958,0.0013203033893463452
NREM,0.5758091113381001,0.150646485414533,0.0374307650886247,-0.3600082856254545,0.003551921460495544,0.0017054764096495574,0.0014833077822640364,0.0033222183331911618,0.001104332330600312
NREM,0.4248693610698365,0.15139144214760072,0.06715413194355868,-0.11706803920996345,0.00525805075684696,0.0019590601218724647,0.001312577102639773,0.0024980735310787443,0.001188005965380836
NREM,0.4702267936507937,0.15684836883760822,-0.061050829027875106,-0.05095050902575382,0.0052681443138731365,0.0021637548971761033,0.0026062555986361416,0.0037983453254495096,0.0013023996129597625
NREM,0.40169897849462366,0.12838780149489815,0.4406209108262133,0.49739695758333946,0.004254788229867922,0.002412342924681103,0.0009092629696429387,0.0021552388551599414,0.0008914298636223418
NREM,0.34920819787985863,0.14367269848178302,0.5034817944090003,0.29796886664171485,0.005018677864041995,0.0013844501296067673,0.0022550736777536603,0.002490127160675314,0.0006038544305019821
NREM,0.5209349190816711,0.17637396567174335,-0.27225159687624645,0.11412206545955517,0.0017690283661346633,0.0006857252704917641,0.0006122535030140112,0.0007921479604972284,0.00026435415662505067
NREM,0.4505595551848762,0.1395101828894386,-0.18780099738046327,0.2519774180557164,0.0037116905848333373,0.0014605491034090207,0.000753315210729207,0.0016644449083435663,0.0006668651333549476
NREM,0.35156377723970944,0.1374640083696281,0.7158490336662087,1.3411577167249025,0.004433095033617945,0.0009760341660078174,0.0009762398570363806,0.001756814085248153,0.0005145439988361632
NREM,0.4552245248,0.15731319301949911,0.4898237252953591,0.10874347846852617,0.006783506945891728,0.002850277898844982,0.001130370288749688,0.0023104218036663956,0.0008121623657607049
NREM,0.4564410796747968,0.1703632008866127,0.3430455597895223,-0.38654319665571313,0.0084052602417686,0.0032946465425523507,0.002193593564207899,0.00386660001563624,0.0010124043630088753
NREM,0.49931318750000003,0.1651291569325475,0.24633550112281966,-0.232062670966092,0.004726144786491591,0.0024756587308487417,0.001875547474106844,0.002217831340947374,0.0013030832444709123
NREM,0.646159941241278,0.25130838749944345,-0.5979256996861252,-0.6620336502281075,0.0016676616942079589,0.00018159211763980708,0.00013082784366608464,0.0002419837832109359,7.794733843960673e-05
NREM,0.4125253300733496,0.14305556728534236,0.5382839322807119,0.8704020345776793,0.0034051324725119228,0.0017045616061088337,0.001530189253103568,0.002279174842392602,0.0008685154203250677
NREM,0.4203101273261508,0.1750753778639224,0.560641003506374,0.16155429138154354,0.011612494960547674,0.0027549471989555914,0.0015906532983062049,0.00322237854744497,0.0018591655056456758
NREM,0.5669953021187549,0.16897850865944725,-0.7842873580805723,0.2288564379071687,0.0032241282961952807,0.0011701202557114153,0.000666644893411327,0.0010980581326956234,0.0004927327000192239
NREM,0.5494589469952136,0.2116666338921341,-0.5343849712061927,-0.13672039577182948,0.00156929948923963,0.0003657380901247982,0.00011977978907364161,0.00033755101326741343,0.0002181225019940578
NREM,0.4401155446756426,0.14950661247831132,0.21495162945840685,-0.04412276068600329,0.0044384315449691,0.001986920243220406,0.0010507260611062213,0.001838370110701035,0.0006984359525321006
NREM,0.6828365815653841,0.21969681673560568,-1.8556866436906891,2.259328419467872,0.003871924979709214,0.0002683501040588505,0.00014540490775520674,0.00036442336574842715,0.00010643867303016574
NREM,0.40632750472193074,0.20668992744754602,0.30734419551684705,-0.8377518988847021,0.0018980545086933493,0.0008447329490729084,0.0006648769408321858,0.0015477538828364175,0.0004059968842492329
NREM,0.37730471710108077,0.13827137157805944,0.42455766694990865,0.5965902002314167,0.0049015109028563,0.001863349817530492,0.0010548369363679575,0.0020961270297254948,0.0008069878491628968
NREM,0.4475921568627451,0.14555233716101482,0.2432807034350494,-0.1526259153435623,0.003064171207291557,0.001899257740106884,0.000945616509090616,0.003465104696633211,0.0010970369806360017
NREM,0.3342396145739235,0.12825693300990465,0.5174310257502173,1.4499367704596366,0.0038539765180739577,0.0016882359493695551,0.0013137187423539983,0.0022252160501528622,0.0007434239137563048
NREM,0.38261415308945596,0.15888610290864585,0.6310253651654696,0.12043975037608323,0.006429018487564935,0.0018365511284767727,0.002107115330617631,0.0030276543163740245,0.000796660221215034
NREM,0.3593586149406861,0.1401975343889817,0.21004154816483003,-0.05314656200842238,0.005281332264338386,0.0012762684688957784,0.0015886205495434873,0.0019402119540860403,0.0009033324016883011
